Data,Temp. Max. (C),Variation,Avg.3D,Avg.7D,Weekday,Month
2022-03-21 07:00:00,17.5,-0.10000000000000142,17.533333333333335,17.657142857142855,0,3
2022-03-21 08:00:00,17.4,0.10000000000000142,17.466666666666665,17.599999999999998,0,3
2022-03-21 09:00:00,17.4,-0.10000000000000142,17.433333333333334,17.52857142857143,0,3
2022-03-21 10:00:00,17.7,0.0,17.433333333333334,17.485714285714284,0,3
2022-03-21 11:00:00,18.1,0.3000000000000007,17.5,17.514285714285712,0,3
2022-03-21 12:00:00,19.9,0.40000000000000213,17.733333333333334,17.571428571428573,0,3
2022-03-21 13:00:00,20.2,1.7999999999999972,18.566666666666666,17.914285714285715,0,3
2022-03-21 14:00:00,21.1,0.3000000000000007,19.4,18.314285714285713,0,3
2022-03-21 15:00:00,22.4,0.9000000000000021,20.4,18.82857142857143,0,3
2022-03-21 16:00:00,21.9,1.2999999999999972,21.23333333333333,19.54285714285714,0,3
2022-03-21 17:00:00,21.3,-0.5,21.8,20.185714285714287,0,3
2022-03-21 18:00:00,21.4,-0.5999999999999979,21.866666666666664,20.7,0,3
2022-03-21 19:00:00,20.5,0.09999999999999787,21.53333333333333,21.17142857142857,0,3
2022-03-21 20:00:00,19.9,-0.8999999999999986,21.066666666666666,21.257142857142856,0,3
2022-03-21 21:00:00,17.7,-0.6000000000000014,20.599999999999998,21.214285714285715,0,3
2022-03-21 22:00:00,17.9,-2.1999999999999993,19.366666666666664,20.728571428571428,0,3
2022-03-21 23:00:00,18.0,0.1999999999999993,18.499999999999996,20.085714285714285,0,3
2022-03-22 00:00:00,17.3,0.10000000000000142,17.866666666666664,19.52857142857143,1,3
2022-03-22 01:00:00,17.7,-0.6999999999999993,17.733333333333334,18.957142857142856,1,3
2022-03-22 02:00:00,17.8,0.3999999999999986,17.666666666666668,18.428571428571427,1,3
2022-03-22 03:00:00,17.7,0.10000000000000142,17.599999999999998,18.04285714285714,1,3
2022-03-22 04:00:00,17.3,-0.10000000000000142,17.733333333333334,17.728571428571428,1,3
2022-03-22 05:00:00,17.2,-0.3999999999999986,17.599999999999998,17.67142857142857,1,3
2022-03-22 06:00:00,17.2,-0.10000000000000142,17.400000000000002,17.571428571428573,1,3
2022-03-22 07:00:00,17.0,0.0,17.233333333333334,17.45714285714286,1,3
2022-03-22 08:00:00,16.8,-0.1999999999999993,17.133333333333336,17.414285714285715,1,3
2022-03-22 09:00:00,16.4,-0.1999999999999993,17.0,17.285714285714285,1,3
2022-03-22 10:00:00,17.2,-0.40000000000000213,16.73333333333333,17.085714285714285,1,3
2022-03-22 11:00:00,18.5,0.8000000000000007,16.8,17.014285714285716,1,3
2022-03-22 12:00:00,20.3,1.3000000000000007,17.366666666666664,17.185714285714287,1,3
2022-03-22 13:00:00,21.3,1.8000000000000007,18.666666666666668,17.628571428571426,1,3
2022-03-22 14:00:00,22.2,1.0,20.03333333333333,18.214285714285715,1,3
2022-03-22 15:00:00,23.2,0.8999999999999986,21.266666666666666,18.957142857142856,1,3
2022-03-22 16:00:00,22.9,1.0,22.233333333333334,19.87142857142857,1,3
2022-03-22 17:00:00,22.6,-0.3000000000000007,22.766666666666666,20.8,1,3
2022-03-22 18:00:00,22.4,-0.29999999999999716,22.900000000000002,21.571428571428573,1,3
2022-03-22 19:00:00,21.9,-0.20000000000000284,22.63333333333333,22.12857142857143,1,3
2022-03-22 20:00:00,20.9,-0.5,22.3,22.357142857142858,1,3
2022-03-22 21:00:00,19.8,-1.0,21.73333333333333,22.3,1,3
2022-03-22 22:00:00,18.9,-1.0999999999999979,20.866666666666667,21.957142857142856,1,3
2022-03-22 23:00:00,18.6,-0.9000000000000021,19.866666666666667,21.342857142857145,1,3
2022-03-23 00:00:00,18.7,-0.29999999999999716,19.1,20.728571428571428,2,3
2022-03-23 01:00:00,18.9,0.09999999999999787,18.733333333333334,20.17142857142857,2,3
2022-03-23 02:00:00,18.8,0.1999999999999993,18.733333333333334,19.67142857142857,2,3
2022-03-23 03:00:00,18.8,-0.09999999999999787,18.8,19.228571428571428,2,3
2022-03-23 04:00:00,18.5,0.0,18.833333333333332,18.928571428571427,2,3
2022-03-23 05:00:00,18.4,-0.3000000000000007,18.7,18.74285714285714,2,3
2022-03-23 06:00:00,18.3,-0.10000000000000142,18.566666666666666,18.67142857142857,2,3
2022-03-23 07:00:00,18.1,-0.09999999999999787,18.400000000000002,18.62857142857143,2,3
